user_id,n_messages,stat_foi,bert_foi,xnn_index,source,orientation
1434248728,63,40.2,0,26.1,both,
614899551,64,40.0,0,26.0,both,
996142639,64,40.0,0,26.0,both,
1420074421,64,40.0,0,26.0,both,
3300719069,64,40.0,0,26.0,both,
2805226872,65,39.9,0,25.9,both,
1434594208,67,39.6,0,25.7,both,
1686225786,67,39.6,0,25.7,both,
3806546559,69,39.2,0,25.5,both,
121223766,71,38.9,0,25.3,both,
1504831653,71,38.9,0,25.3,both,
994731751,217,28.9,17.6,24.9,both,
1502644079,214,16.6,40.3,24.9,both,
2848452227,75,38.3,0,24.9,both,
2456116695,76,38.1,0,24.8,both,
2754717141,77,38.0,0,24.7,both,
1243287854,78,37.8,0,24.6,both,
75400950,79,37.7,0,24.5,both,
3299633484,306,37.7,0,24.5,both,
1206257577,80,37.5,0,24.4,both,
1692608760,80,37.5,0,24.4,both,
2187786386,81,37.4,0,24.3,both,
1052118227,83,37.2,0,24.2,both,
2375270869,183,21.5,29.3,24.2,both,
769967529,154,37.1,0,24.1,both,
1252674979,85,36.7,0,23.9,both,
348105425,87,36.4,0,23.7,both,
3460193817,89,36.1,0,23.5,both,
1986993074,92,35.8,0,23.3,both,
1297578920,92,35.7,0,23.2,both,
2981609681,92,35.7,0,23.2,both,
1729784739,94,35.3,0,22.9,both,
2053116169,94,35.3,0,22.9,both,
2673619125,5779,35.0,0,22.8,both,
2761555701,275,34.6,0,22.5,both,
2787348087,102,34.1,0,22.2,both,
1965417382,1113,15.6,34.3,22.1,both,双
3160582860,108,33.2,0,21.6,both,
629451839,110,32.8,0,21.3,both,
1399716483,1979,32.7,0,21.3,both,
1461233598,110,32.8,0,21.3,both,
284256062,113,32.4,0,21.1,both,
1053113173,113,32.4,0,21.1,both,
3667474034,346,7.2,44.0,20.1,both,
1453224144,470,30.6,0,19.9,both,
3273142441,176,29.5,1.7,19.8,both,
1132770943,520,5.5,45.3,19.4,both,
1690566527,139,28.3,0,18.4,both,
1109865307,140,28.2,0,18.3,both,
153015434,141,28.0,0,18.2,both,
1075942968,146,27.2,0,17.7,both,
1654115451,674,27.3,0,17.7,both,
1716842937,151,26.5,0,17.2,both,
2752727290,1699,14.3,22.5,17.2,both,
2039953725,322,25.8,0,16.8,both,
2690901742,256,10.1,29.0,16.7,both,
2961151375,328,3.2,41.8,16.7,both,
3021795514,157,25.5,0,16.6,both,
1591798171,455,24.6,0,16.0,both,
3544142951,378,24.5,0,15.9,both,
2217751975,696,24.3,0,15.8,both,
1579914298,220,24.0,0,15.6,both,
995002583,170,23.5,0,15.3,both,
1563184800,171,23.3,0,15.1,both,
3384346427,173,23.0,0,15.0,both,
2603237129,179,22.1,0,14.4,both,
1142604266,1166,6.3,28.8,14.2,both,
3542441640,219,21.8,0,14.2,both,
3585064027,180,21.9,0,14.2,both,
3395457558,643,21.5,0,14.0,both,
3615168664,1175,21.5,0,14.0,both,
3441452166,1785,21.2,0,13.8,both,
2713471283,192,20.1,0,13.1,both,
3820731905,191,20.2,0,13.1,both,
1220384810,606,16.2,6.5,12.8,both,
3202322974,198,19.1,0,12.4,both,
234300537,202,18.5,0,12.0,both,
1744316083,240,18.2,0,11.8,both,
2048295328,207,17.7,0,11.5,both,
3687436863,244,17.5,0,11.4,both,
1521768316,1512,17.3,0,11.2,both,
2213154584,295,16.2,0,10.5,both,
843573361,408,15.9,0,10.3,both,
1969079577,226,14.9,0,9.7,both,
1710542247,442,14.2,0,9.2,both,
2564868713,4745,14.0,0,9.1,both,
3042290870,430,13.6,0,8.8,both,
2217452704,334,13.2,0,8.6,both,
2215395997,239,12.7,0,8.3,both,
1533543086,5009,12.5,0,8.1,both,
2604093609,4028,11.2,0,7.3,both,
2429967889,4382,10.7,0,7.0,both,
2498419003,256,10.1,0,6.6,both,
1703380767,1109,9.9,0,6.4,both,
1757193004,299,9.9,0,6.4,both,
1460302324,686,9.7,0,6.3,both,
2803093623,11924,9.7,0,6.3,both,
3600881346,1257,9.7,0,6.3,both,
1395833200,308,9.5,0,6.2,both,
1455830769,308,9.5,0,6.2,both,
2628621911,638,9.2,0,6.0,both,
3132722816,318,9.2,0,6.0,both,
3171166989,261,9.3,0,6.0,both,
778949261,870,9.0,0,5.9,both,
3204748035,473,8.9,0,5.8,both,
1921151252,1037,8.7,0,5.7,both,
844793387,974,8.1,0,5.3,both,
3488095996,662,8.1,0,5.3,both,
1691385599,1998,7.6,0,4.9,both,
2956792638,665,7.5,0,4.9,both,
1490494694,6160,7.4,0,4.8,both,
185327596,737,7.1,0,4.6,both,
3474710392,455,6.8,0,4.4,both,
3506136039,789,6.6,0,4.3,both,
1517003939,963,6.5,0,4.2,both,
2760992428,397,6.5,0,4.2,both,
2587025229,505,6.3,0,4.1,both,
3470618647,1266,6.3,0,4.1,both,
3510716918,445,6.1,0.4,4.1,both,
1792368625,790,6.0,0,3.9,both,
2059500534,545,6.0,0,3.9,both,
1640440761,495,5.7,0,3.7,both,
3457612243,2520,5.3,0,3.4,both,
1215892967,804,4.9,0,3.2,both,
2790228256,291,4.6,0,3.0,both,
1115092215,902,4.4,0,2.9,both,
1531322158,949,4.3,0,2.8,both,
2840939122,497,4.3,0,2.8,both,
1853545312,2652,4.1,0,2.7,both,
1206156741,574,3.2,0,2.1,both,
1803703473,1811,3.2,0,2.1,both,
2049014399,411,3.2,0,2.1,both,
2757698037,455,3.2,0,2.1,both,
2843847500,330,3.2,0,2.1,both,
3058166700,1130,3.2,0,2.1,both,
3541215132,360,3.2,0,2.1,both,
